Product,Price,Discount,Feature 1,Feature 2,Delivery method,Colour
Kona Process 134 (2017) Mountain Bike,"€1,899.00 - €2,105.98",No discount applied,Kona 6061 Aluminum Butted 134mm Travel frame,RockShox Sektor Silver RL 140mm forks,Bulk Tracked Courier Delivery:, Black
Kona Process 111 (2016),"€2,079.62 - €2,541.76",No discount applied,Kona 6061 Aluminum frame,RockShox Pike RC 120mm forks,Bulk Tracked Courier Delivery:, Matte Black
Vitus 20Plus Kids Bike,€335.99,No discount applied,Light weight 6061 alloy frame and fork,Tektro Mechanical Disc Brakes,Bulk Tracked Courier Delivery:,Brushed Alloy
Vitus 20 Kids Bike,€257.99,No discount applied,Light weight 6061 alloy frame,Tektro V Brakes,Bulk Tracked Courier Delivery:,Choice of colours
Kiddimoto Stars Kurve Balance Bike,€87.99,Save 10%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,Multicoloured
Vitus ZX1 Aero Disc Road Bike - 105,"€1,559.98",Save 35%,Aero optimised with Kammtail tube profiles,Integrated Aero fork,Bulk Tracked Courier Delivery:, Silver - Black - Gre
Cube Stereo Hybrid 140 HPA 27.5 SL 500 E-Bike (2017),"€4,759.00",Save 15%,"Frame: HPA Ultralight, Advanced Hydroform, Triple Butted, ETC 4-Link, ATG, Boost 148mm, Tuned Drive Position, AXH","Fork: Fox 34 Float FIT4 Factory, Open / Medium / Firm Mode, Open Mode Adjust, Tapered, 15QR, Kashima Coated, 140 mm",Bulk Tracked Courier Delivery:,Iridium
Vitus Mach 3 Urban Bike - Sora,€559.99,Save 20%,Versatile flat bar road bike,Shimano Sora groupset,Bulk Tracked Courier Delivery:, Blue - Orange
Cube Aim SL 29 Hardtail Mountain Bike,€454.80,Save 27%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, Blue/Red
Vitus Venon CRW Disc Road Bike - 105 Black/Purple 54cm,"€1,319.98",Save 40%,Weight: 9.05kg (19.94lbs),"Frame: Carbon T700-HM UD, 142x12mm TA",Bulk Tracked Courier Delivery:, Black - Purple
GT Air (2019) Bike,€299.00,No discount applied,"Frame: GT FS Design, Hi-Ten Steel","Fork: GT FS Design, Hi-Ten Steel",Bulk Tracked Courier Delivery:,Trans Purple
Fuji Roubaix 1.3 Disc Road Bike (2018),"€1,118.99",Save 30%,"Frame: A6-SL super-butted 6066 aluminum, integrated 1 1/2"" lower head tube, PF30 shell, double water bottle mounts, oversized ETC chainstays, forged-road dropout w/ replaceable derailleur hanger",Fork: FC-440 carbon w/ tapered carbon steerer & alloy dropout,Bulk Tracked Courier Delivery:, Satin Black - Red
Vitus Nippy Balance Bike,€43.99,Save 12%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,Choice of colours
Kona Process 111 DL (2016),"€2,499.00 - €3,195.55",No discount applied,Kona 6061 Aluminum frame,RockShox Pike RCT3 120mm forks,Bulk Tracked Courier Delivery:, Matte Navy
Vitus Energie CRX Cyclocross Bike (Force 1x11 -2019)   B,"€2,127.99",No discount applied,High Modulas Carbon Frame and Fork,Internal Cable Routing,Bulk Tracked Courier Delivery:, Black/Turquoise
Cinelli Experience Women's (Tiagra - 2017) Road Bike,€850.99,Save 34%,Columbus Airplane Alloy frame,Carbon fork with alloy steerer,Bulk Tracked Courier Delivery:,Gray
Felt Doctrine 4 (2018) XC Carbon Hardtail Bike,"€1,997.99",Save 25%,"Frame: Felt XC, UHC Performance Carbon Fibre, MMC with InsideOut construction, carbon dropouts, ControlTaper head tube, Kevlar chain watcher, replaceable hanger, flat mount disc mounts, BB92, 12x148mm Syntace style thru axle, internal cable routing","Fork: RockShox Reba RL 29 Solo Air, 100mm travel, OneLoc remote, 15 x 110mm Boost thru axle",Bulk Tracked Courier Delivery:, Matte Charcoal/Blue/
FE Singlespeed (2019) Bike,€699.99,No discount applied,Frame: Orro Fe Double Butted Steel with Reflective Decals,Fork: Orro Straightblade steel,Bulk Tracked Courier Delivery:, Black
PYRO Disc 105 Racing (2019) Bike,"€1,499.99",No discount applied,Frame: Orro Pyro Carbon Disc Brake Frame,Fork: Orro Superlight 2.0 Full Carbon Disc Brake,Bulk Tracked Courier Delivery:, Black/Red
Niner AIR 9 2-Star Hardtail Bike,"€2,249.00",Save 10%,Frame: Hydroformed Aluminium,"Fork: RockShox Reba RL Solo Air, 100mm, 110x15mm",Bulk Tracked Courier Delivery:, Black/Cyan
Felt FR3 Road Bike (Ultegra - 2017),"€1,919.99",Save 35%,Felt Race Road UHC Performance carbon fiber frame and fork,Shimano Ultegra 2x11 drivetrain,Bulk Tracked Courier Delivery:,Black/Orange
TERRA C 105 Hydro Racing (2019) Bike,"€2,399.99",No discount applied,Frame: Orro Terra C Carbon Frame with Innegra Impact Protection,Fork: Orro Terra C Full Carbon with Innegra Impact Protection,Bulk Tracked Courier Delivery:, Stealth
Icon BMX Bike,€241.99,Save 46%,"Frame: Blank 1020 Hi-Tensile Steel/CrMo downtube, removable brake hardware","Fork: Blank Compound 2, tapered",Bulk Tracked Courier Delivery:,Choice of colours
"Ghost Slamr 4.7 27.5"" Full Suspension Bike","€2,889.99",No discount applied,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, Yellow/Black
Kona Process 134 DL (2017) Mountain Bike,"€2,158.80",Save 46%,Kona 6061 Aluminum Butted 134mm Travel frame,RockShox Pike RC 140mm forks,Bulk Tracked Courier Delivery:, Blue
"Ghost Kato 6.9 29"" Hardtail Bike",€762.99,Save 30%,Frame: Kato AL alloy,"Fork: SR Suntour Epixon-9 RLR DS 29 Air, 100mm travel",Bulk Tracked Courier Delivery:, Neon Green/Night Bla
GT Transeo Sport Easy Entry (2019) Bike,€399.00,No discount applied,"Frame: GT Transeo, Triple Triangle, 6061 series alloy",Forks: GT fork with steel raked legs,Bulk Tracked Courier Delivery:, Satin Black
